name,type,date,value
20世纪美国小说,外院,2012-2013-1,7
GIS软件工程,地生院,2012-2013-1,1
IP网络技术,通院,2012-2013-1,1
IP网络技术基础（双语）,通院,2012-2013-1,29
Java移动应用开发,软院,2012-2013-1,1
Linux编程,计院,2012-2013-1,3
TCP/IP网络设计与实现（双语）,计院,2012-2013-1,6
WEB服务和分布式应用程序开发,软院,2012-2013-1,4
Windows高级软件开发,计院,2012-2013-1,3
半导体材料与器件（双语）,材料院,2012-2013-1,1
半导体集成电路工艺,电院,2012-2013-1,16
半导体物理,电院,2012-2013-1,6
材料物理（双语）,材料院,2012-2013-1,1
财务管理A,经管院,2012-2013-1,10
财务会计B,经管院,2012-2013-1,3
操作系统,经管院,2012-2013-1,1
操作系统,物联网院,2012-2013-1,3
操作系统A,计院,2012-2013-1,40
操作系统结构分析,计院,2012-2013-1,13
测量学,地生院,2012-2013-1,3
冲突与谈判,人文院,2012-2013-1,3
抽样调查（双语）,理学院,2012-2013-1,4
初等数论,计院,2012-2013-1,3
传感器技术,自动化院,2012-2013-1,22
大学化学,材料院,2012-2013-1,6
大学物理,理学院,2012-2013-1,582
大学英语Ⅰ,外院,2012-2013-1,170
大学英语Ⅱ,外院,2012-2013-1,9
大学英语Ⅲ,外院,2012-2013-1,164
大学英语Ⅳ,外院,2012-2013-1,123
大学语文,人文院,2012-2013-1,2
代码优化与性能调优,软院,2012-2013-1,9
代数与几何,理学院,2012-2013-1,17
单片机原理及系统设计,计院,2012-2013-1,22
地形图判读与定向越野,地生院,2012-2013-1,12
第二外语（日语）,外院,2012-2013-1,9
第三代移动通信系统,通院,2012-2013-1,1
电磁场理论,电院,2012-2013-1,13
电磁场数学方法,电院,2012-2013-1,15
电磁场与传输理论,电院,2012-2013-1,81
电磁场与传输理论A,电院,2012-2013-1,109
电磁兼容原理与技术,电院,2012-2013-1,6
电磁学,理学院,2012-2013-1,9
电动力学,光院,2012-2013-1,2
电动力学,理学院,2012-2013-1,5
电工电子技术基础,电院,2012-2013-1,50
电工电子实验（一）,电工电子实验教学中心,2012-2013-1,26
电机学,自动化院,2012-2013-1,73
电机与拖动基础,自动化院,2012-2013-1,4
电力电子技术,自动化院,2012-2013-1,44
电力电子装置及控制,自动化院,2012-2013-1,6
电气测量技术,自动化院,2012-2013-1,15
电视传输与组网技术,通院,2012-2013-1,1
电视原理,通院,2012-2013-1,3
电信以太网技术,通院,2012-2013-1,8
电子电路基础,理学院,2012-2013-1,3
电子信息工程专业导论,通院,2012-2013-1,5
动画造型设计,传媒院,2012-2013-1,1
多媒体技术与通信,通院,2012-2013-1,15
二维动画应用,传媒院,2012-2013-1,3
分析化学,材料院,2012-2013-1,12
概率论,理学院,2012-2013-1,8
概率论与数理统计,理学院,2012-2013-1,172
概率统计和随机过程,理学院,2012-2013-1,244
钢琴艺术赏析,传媒院,2012-2013-1,2
高等数学A,理学院,2012-2013-1,588
高等数学AⅠ,理学院,2012-2013-1,75
高等数学B,理学院,2012-2013-1,50
高等数学BⅠ,理学院,2012-2013-1,40
高等数学C,理学院,2012-2013-1,8
高分子材料制备与加工,材料院,2012-2013-1,1
高分子化学（双语）,材料院,2012-2013-1,1
高级日语Ⅰ,外院,2012-2013-1,1
高级日语Ⅲ,外院,2012-2013-1,2
高级写作Ⅱ,外院,2012-2013-1,2
高级语言程序设计,计院,2012-2013-1,286
固体电子导论,光院,2012-2013-1,47
管理经济学,人文院,2012-2013-1,1
管理信息系统,经管院,2012-2013-1,8
光电成像原理,光院,2012-2013-1,12
光电传感技术,光院,2012-2013-1,2
光电综合实验,光院,2012-2013-1,2
光纤传输技术,光院,2012-2013-1,70
光纤网络技术,光院,2012-2013-1,39
光学,理学院,2012-2013-1,3
国际贸易（双语）,经管院,2012-2013-1,6
宏观经济学,经管院,2012-2013-1,17
汇编语言程序设计,计院,2012-2013-1,36
货币银行学,经管院,2012-2013-1,4
机器人学,自动化院,2012-2013-1,1
基础日语Ⅰ,外院,2012-2013-1,10
基础日语Ⅲ,外院,2012-2013-1,1
基础写作II,外院,2012-2013-1,1
基础英语Ⅲ,外院,2012-2013-1,1
基于ADO.NET和XML的数据库高级应用开发,软院,2012-2013-1,8
基于Java的人机交互系统设计,软院,2012-2013-1,7
基于UML的面向对象分析与设计,软院,2012-2013-1,1
激光技术与应用,光院,2012-2013-1,2
激光原理,光院,2012-2013-1,7
集成电路分析与设计,电院,2012-2013-1,1
集成光电子器件,光院,2012-2013-1,3
计算机接口技术,软院,2012-2013-1,16
计算机通信与网络,计院,2012-2013-1,7
计算机图形学,教科院,2012-2013-1,5
计算机图形学,软院,2012-2013-1,2
计算机图形学（双语）,地生院,2012-2013-1,4
计算机网络,计院,2012-2013-1,19
计算机网络（双语）,通院,2012-2013-1,13
计算机网络概论B,理学院,2012-2013-1,5
计算机系统结构,计院,2012-2013-1,6
计算机应用基础,传媒院,2012-2013-1,13
计算机应用基础,计院,2012-2013-1,4
计算机组成原理,理学院,2012-2013-1,9
计算机组成原理,物联网院,2012-2013-1,3
交换技术基础,通院,2012-2013-1,73
结构化学,材料院,2012-2013-1,16
精密机械学基础,自动化院,2012-2013-1,9
军事理论,人武部,2012-2013-1,1
科技情报检索,图书馆,2012-2013-1,1
宽带交换技术,通院,2012-2013-1,4
离散数学,计院,2012-2013-1,27
离散数学,理学院,2012-2013-1,22
离散数学,软院,2012-2013-1,11
离散数学,物联网院,2012-2013-1,9
量子与统计物理,材料院,2012-2013-1,3
马克思主义基本原理概论,马院,2012-2013-1,39
毛泽东思想和中国特色社会主义理论体系概论,马院,2012-2013-1,95
模拟电子技术,电院,2012-2013-1,417
模拟电子线路,电院,2012-2013-1,69
嵌入式系统及应用,自动化院,2012-2013-1,7
日语,外院,2012-2013-1,12
日语词汇学,外院,2012-2013-1,1
日语口语Ⅰ,外院,2012-2013-1,2
日语口语Ⅲ,外院,2012-2013-1,1
日语视听说Ⅱ,外院,2012-2013-1,1
日语听力Ⅰ,外院,2012-2013-1,5
日语语言学概论,外院,2012-2013-1,3
日语语音,外院,2012-2013-1,2
入侵检测技术及其在物联网中的应用,物联网院,2012-2013-1,1
软件工程,通院,2012-2013-1,11
软件工程（双语）,计院,2012-2013-1,1
摄影技艺,教科院,2012-2013-1,5
实时操作系统与控制,自动化院,2012-2013-1,1
实用回归分析,理学院,2012-2013-1,1
数据结构A,计院,2012-2013-1,27
数据结构B,计院,2012-2013-1,25
数据结构与算法,软院,2012-2013-1,19
数据结构与算法,物联网院,2012-2013-1,11
数据库原理（双语）,理学院,2012-2013-1,16
数据通信与计算机网络,计院,2012-2013-1,4
数理方程,理学院,2012-2013-1,132
数学分析,理学院,2012-2013-1,49
数学模型基础,理学院,2012-2013-1,6
数值代数,理学院,2012-2013-1,13
数字电路与逻辑设计,电院,2012-2013-1,24
数字电路与逻辑设计B,电院,2012-2013-1,49
数字媒体技术导论,传媒院,2012-2013-1,3
数字媒体艺术导论,传媒院,2012-2013-1,1
数字信号处理A（双语）,通院,2012-2013-1,48
数字信号处理B,通院,2012-2013-1,51
思想道德修养与法律基础,马院,2012-2013-1,3
素描,传媒院,2012-2013-1,1
体育,体育部,2012-2013-1,99
通信电子电路实验,电工电子实验教学中心,2012-2013-1,2
通信电子线路,电院,2012-2013-1,42
通信经济学,经管院,2012-2013-1,4
通信网规划与设计,通院,2012-2013-1,10
通信原理A,通院,2012-2013-1,66
通信原理B,通院,2012-2013-1,35
通信原理C,通院,2012-2013-1,63
统计学,经管院,2012-2013-1,9
统计学Ⅰ,理学院,2012-2013-1,2
统计预测与决策,理学院,2012-2013-1,2
图像处理,地生院,2012-2013-1,3
图像与视频处理,通院,2012-2013-1,2
图形化程序设计语言（双语）,自动化院,2012-2013-1,10
网络编程技术,经管院,2012-2013-1,15
网络化测控技术,自动化院,2012-2013-1,1
网络监控与管理,通院,2012-2013-1,34
网络信息安全,通院,2012-2013-1,15
微观经济学A,经管院,2012-2013-1,11
微观经济学B,经管院,2012-2013-1,2
微机原理及其在医学中的应用,地生院,2012-2013-1,4
微生物与保健,地生院,2012-2013-1,17
微型计算机接口技术,计院,2012-2013-1,55
微型计算机原理与接口技术,计院,2012-2013-1,121
卫星通信,通院,2012-2013-1,5
文献检索,图书馆,2012-2013-1,1
无机化学,材料院,2012-2013-1,10
无线传感器网络,通院,2012-2013-1,2
物理光学,光院,2012-2013-1,70
物理化学,材料院,2012-2013-1,3
物理实验,理学院,2012-2013-1,16
物理学概论,理学院,2012-2013-1,1
物联网导论,物联网院,2012-2013-1,1
西方经济学说要略,马院,2012-2013-1,1
西方文化影视欣赏,外院,2012-2013-1,5
西方音乐史,传媒院,2012-2013-1,1
系统工程,经管院,2012-2013-1,11
下一代网络技术（双语）,通院,2012-2013-1,3
现代管理科学基础,经管院,2012-2013-1,18
现代生物学,地生院,2012-2013-1,2
现代通信技术,经管院,2012-2013-1,3
线性代数与解析几何,理学院,2012-2013-1,584
消费者行为学,经管院,2012-2013-1,2
心理学,教科院,2012-2013-1,3
新型微电子器件,电院,2012-2013-1,1
信号分析与信号处理,通院,2012-2013-1,22
信号与系统A,通院,2012-2013-1,279
信号与系统B,通院,2012-2013-1,362
信息安全技术（电子商务安全）,经管院,2012-2013-1,1
信息经济学,经管院,2012-2013-1,2
信息论基础C,通院,2012-2013-1,61
信息资源管理（双语）,经管院,2012-2013-1,2
学术论文写作,外院,2012-2013-1,2
遥感图像处理,地生院,2012-2013-1,2
移动通信系统B,通院,2012-2013-1,1
艺术概论,传媒院,2012-2013-1,1
艺术基础,传媒院,2012-2013-1,1
音乐理论与鉴赏,传媒院,2012-2013-1,16
英语阅读Ⅲ,外院,2012-2013-1,1
应用光学（双语）,光院,2012-2013-1,38
应用光学基础,自动化院,2012-2013-1,8
应用信息论基础,计院,2012-2013-1,7
有机电子学（双语）,材料院,2012-2013-1,1
有机化学,材料院,2012-2013-1,18
语音信号处理,通院,2012-2013-1,9
运筹与优化,理学院,2012-2013-1,9
政治经济学,经管院,2012-2013-1,5
职业发展与创业指导,机关,2012-2013-1,6
制图基础及计算机绘图,理学院,2012-2013-1,6
中国近现代史纲要,马院,2012-2013-1,3
中国经典文化的西方之旅,外院,2012-2013-1,5
专业导论,外院,2012-2013-1,1
专业英语,传媒院,2012-2013-1,1
专业英语,电院,2012-2013-1,3
专业英语,自动化院,2012-2013-1,2
专业英语（自学）,电院,2012-2013-1,17
专业英语（自学）,光院,2012-2013-1,4
自动控制原理,自动化院,2012-2013-1,102
自然地理学,地生院,2012-2013-1,7
C#面向对象程序设计,软院,2012-2013-2,5
DSP处理器及应用,通院,2012-2013-2,1
DSP技术及应用,自动化院,2012-2013-2,3
Linux编程,软院,2012-2013-2,1
Matlab与科学计算,自动化院,2012-2013-2,19
TCP/IP及网络互连,通院,2012-2013-2,1
VB语言程序设计,经管院,2012-2013-2,21
Web技术（双语）,计院,2012-2013-2,4
半导体材料与器件（双语）,材料院,2012-2013-2,14
半导体器件物理（双语）,电院,2012-2013-2,5
薄膜光学,材料院,2012-2013-2,1
编译原理,计院,2012-2013-2,22
编译原理,软院,2012-2013-2,13
材料分析技术,材料院,2012-2013-2,1
材料化学（双语）,材料院,2012-2013-2,7
材料加工原理与实验,材料院,2012-2013-2,4
财务管理B,经管院,2012-2013-2,1
财务会计A,经管院,2012-2013-2,15
操作系统原理,软院,2012-2013-2,3
操作系统原理,物联网院,2012-2013-2,6
传感材料及其应用,材料院,2012-2013-2,4
大学化学,材料院,2012-2013-2,8
大学物理,理学院,2012-2013-2,996
大学英语Ⅱ,外院,2012-2013-2,215
大学英语Ⅲ,外院,2012-2013-2,82
大学英语Ⅳ,外院,2012-2013-2,60
大学语文,人文院,2012-2013-2,2
代数与几何,理学院,2012-2013-2,28
单片机原理及应用,通院,2012-2013-2,9
第二外语（日语）（中）,外院,2012-2013-2,4
第二外语（英语）（中）,外院,2012-2013-2,3
电波传播理论,电院,2012-2013-2,3
电磁场理论与光波导技术,光院,2012-2013-2,31
电磁场与传输理论B,电院,2012-2013-2,72
电工电子基础实验A,电工电子实验教学中心,2012-2013-2,14
电工电子基础实验B,电工电子实验教学中心,2012-2013-2,27
电工电子技术基础,电院,2012-2013-2,131
电工电子实验（二）,电工电子实验教学中心,2012-2013-2,39
电机学,自动化院,2012-2013-2,85
电力系统分析,自动化院,2012-2013-2,21
电路,电院,2012-2013-2,143
电路分析基础A,电院,2012-2013-2,131
电路分析基础B,电院,2012-2013-2,133
电气控制与可编程控制器,自动化院,2012-2013-2,24
电气设备,自动化院,2012-2013-2,4
电信网信令（双语）,通院,2012-2013-2,36
电子测量原理,自动化院,2012-2013-2,6
电子音乐制作,传媒院,2012-2013-2,1
电子政务,经管院,2012-2013-2,3
电子政务案例分析,经管院,2012-2013-2,1
多媒体技术,教科院,2012-2013-2,3
多元统计分析,理学院,2012-2013-2,2
二维动画,传媒院,2012-2013-2,1
发光学与发光材料,材料院,2012-2013-2,1
发展经济学,经管院,2012-2013-2,1
翻译导论,外院,2012-2013-2,1
犯罪的罪名与案例,人文院,2012-2013-2,8
复变函数,理学院,2012-2013-2,11
概率论与数理统计,理学院,2012-2013-2,192
概率统计和随机过程,理学院,2012-2013-2,343
高等数学A,理学院,2012-2013-2,1052
高等数学AⅡ,理学院,2012-2013-2,193
高等数学B,理学院,2012-2013-2,96
高等数学BⅡ,理学院,2012-2013-2,57
高级日语Ⅱ,外院,2012-2013-2,5
个人通信,通院,2012-2013-2,2
功能高分子材料,材料院,2012-2013-2,2
固体物理,理学院,2012-2013-2,3
关系数据库设计与开发,软院,2012-2013-2,10
管理学原理,经管院,2012-2013-2,6
光电检测,自动化院,2012-2013-2,1
光电检测与信号处理,光院,2012-2013-2,14
光电子技术基础（双语）,理学院,2012-2013-2,2
光电子学（双语）,光院,2012-2013-2,48
光纤通信系统,光院,2012-2013-2,6
光纤通信与数字传输,通院,2012-2013-2,45
光纤通信原理与系统（双语）,电院,2012-2013-2,24
光学与光电子基础实验,光院,2012-2013-2,2
国际关系,海院,2012-2013-2,4
国际金融（双语）,经管院,2012-2013-2,6
国际经济学,经管院,2012-2013-2,2
国际市场营销（双语）,经管院,2012-2013-2,5
过程控制,自动化院,2012-2013-2,1
宏观经济学,经管院,2012-2013-2,11
基础日语Ⅱ,外院,2012-2013-2,17
基础日语Ⅳ,外院,2012-2013-2,1
基础写作I,外院,2012-2013-2,2
基础写作II,外院,2012-2013-2,2
基础英语Ⅱ,外院,2012-2013-2,1
基础英语Ⅳ,外院,2012-2013-2,1
基于C#.NET的人机交互系统设计,软院,2012-2013-2,5
激光原理,光院,2012-2013-2,39
集成电路与CAD,电院,2012-2013-2,25
计量经济学,理学院,2012-2013-2,7
计算机病毒防治,计院,2012-2013-2,1
计算机控制与仿真,自动化院,2012-2013-2,9
计算机通信网,通院,2012-2013-2,15
计算机通信与网络,计院,2012-2013-2,27
计算机图形学,通院,2012-2013-2,1
计算机网络,教科院,2012-2013-2,13
计算机网络概论A,理学院,2012-2013-2,3
计算机网络基础,传媒院,2012-2013-2,3
计算机应用基础能力考核,计院,2012-2013-2,239
计算机组成与结构,计院,2012-2013-2,9
计算机组成原理,计院,2012-2013-2,22
计算机组成原理,教科院,2012-2013-2,1
计算机组成原理,软院,2012-2013-2,13
计算机组成原理,物联网院,2012-2013-2,14
继电保护原理,自动化院,2012-2013-2,23
经济计量学,经管院,2012-2013-2,18
聚合物成型工艺与原理,材料院,2012-2013-2,3
军事理论,人武部,2012-2013-2,1
科技英语,自动化院,2012-2013-2,12
宽带交换技术,通院,2012-2013-2,3
离散数学,物联网院,2012-2013-2,1
力学与热学,理学院,2012-2013-2,11
量子力学,理学院,2012-2013-2,2
量子力学基础,材料院,2012-2013-2,12
量子物理,光院,2012-2013-2,70
量子与固体物理,电院,2012-2013-2,4
马克思主义基本原理概论,马院,2012-2013-2,48
毛泽东思想和中国特色社会主义理论体系概论,马院,2012-2013-2,15
密码学,计院,2012-2013-2,16
密码学,通院,2012-2013-2,6
面向对象程序设计及C++,计院,2012-2013-2,59
模拟电子技术,电院,2012-2013-2,66
模拟电子技术 I,电院,2012-2013-2,13
模式识别基础（双语）,自动化院,2012-2013-2,25
平面广告创意与表现,传媒院,2012-2013-2,1
普通物理实验Ⅰ,理学院,2012-2013-2,1
奇怪的创造：文本、智能技术及伦理,海院,2012-2013-2,1
企业资源规划（ERP）,经管院,2012-2013-2,1
嵌入式系统B,通院,2012-2013-2,8
嵌入式系统原理与应用,物联网院,2012-2013-2,2
全光通信网,通院,2012-2013-2,2
全球定位系统（GPS）（双语）,地生院,2012-2013-2,14
热力学与统计物理,理学院,2012-2013-2,15
人工智能,软院,2012-2013-2,13
人力资源管理（双语）,经管院,2012-2013-2,2
日本概况,外院,2012-2013-2,9
日本古典语法与文学作品选读,外院,2012-2013-2,1
日本经济学概论,外院,2012-2013-2,1
日语,外院,2012-2013-2,4
日语翻译（汉译日）,外院,2012-2013-2,6
日语口语Ⅱ,外院,2012-2013-2,4
日语听力Ⅱ,外院,2012-2013-2,13
软件工程,教科院,2012-2013-2,1
软件工程（双语）,计院,2012-2013-2,1
软件工程（双语）,软院,2012-2013-2,3
软件工程（双语）,物联网院,2012-2013-2,1
软件开发技术基础,计院,2012-2013-2,1
软件需求分析,软院,2012-2013-2,4
商务日语,外院,2012-2013-2,1
时间序列分析,理学院,2012-2013-2,4
实用计算机组装与维护,计院,2012-2013-2,3
实用口才技能与普通话测试,计院,2012-2013-2,8
实用英文写作,外院,2012-2013-2,16
数据结构A,计院,2012-2013-2,47
数据结构与算法,物联网院,2012-2013-2,6
数据库系统A,计院,2012-2013-2,7
数据库系统B,计院,2012-2013-2,5
数据库系统与设计,软院,2012-2013-2,8
数据库原理（双语）,理学院,2012-2013-2,8
数据库原理及应用,地生院,2012-2013-2,1
数据库原理与应用,经管院,2012-2013-2,11
数理金融,理学院,2012-2013-2,2
数理统计,理学院,2012-2013-2,4
数学分析（中）,理学院,2012-2013-2,35
数学建模,理学院,2012-2013-2,24
数学物理方法,理学院,2012-2013-2,10
数值逼近（双语）,理学院,2012-2013-2,4
数字传输技术,自动化院,2012-2013-2,1
数字电路与逻辑设计,电院,2012-2013-2,71
数字电路与逻辑设计B,电院,2012-2013-2,275
数字电视原理C,通院,2012-2013-2,1
数字集成电路分析与设计（双语）,电院,2012-2013-2,22
数字媒体技术基础,传媒院,2012-2013-2,1
数字信号处理,通院,2012-2013-2,51
数字信号处理A（双语）,通院,2012-2013-2,61
数字信号处理B,通院,2012-2013-2,40
思想道德修养与法律基础,马院,2012-2013-2,3
算法分析与设计,计院,2012-2013-2,3
算法分析与设计C,计院,2012-2013-2,12
算法设计与分析,软院,2012-2013-2,4
体育,体育部,2012-2013-2,80
天线原理与设计,电院,2012-2013-2,2
通信软件设计,通院,2012-2013-2,5
通信网基础,光院,2012-2013-2,19
通信网基础A,通院,2012-2013-2,17
通信网络技术（双语）,通院,2012-2013-2,9
通信原理,物联网院,2012-2013-2,24
通信原理B,通院,2012-2013-2,6
通信原理C,通院,2012-2013-2,19
统计学Ⅱ,理学院,2012-2013-2,7
统一建模语言,计院,2012-2013-2,4
图像处理,通院,2012-2013-2,2
图像通信B,通院,2012-2013-2,11
网络信息安全,计院,2012-2013-2,3
网络信息资源检索与利用,经管院,2012-2013-2,2
网站设计与架构,经管院,2012-2013-2,1
微波电路,电院,2012-2013-2,3
微波技术基础,电院,2012-2013-2,7
微波技术与天线,理学院,2012-2013-2,3
微电子器件设计,电院,2012-2013-2,2
微分方程,理学院,2012-2013-2,6
微分方程及其数值计算,理学院,2012-2013-2,12
微分方程数值解,理学院,2012-2013-2,2
微观经济学,经管院,2012-2013-2,10
微型计算机原理与接口技术,计院,2012-2013-2,213
无机化学,材料院,2012-2013-2,16
无线通信原理（双语）,通院,2012-2013-2,17
物理化学   ,材料院,2012-2013-2,10
物流管理,经管院,2012-2013-2,4
西方文化影视欣赏,外院,2012-2013-2,24
西方音乐史,传媒院,2012-2013-2,1
现代管理科学基础,经管院,2012-2013-2,5
现代控制理论,自动化院,2012-2013-2,1
现代通信概论（双语）,教科院,2012-2013-2,6
现代通信技术,经管院,2012-2013-2,2
现代物流与供应链管理,经管院,2012-2013-2,1
线性代数,理学院,2012-2013-2,74
线性代数与解析几何,理学院,2012-2013-2,77
心理学,传媒院,2012-2013-2,1
新能源发电技术,自动化院,2012-2013-2,13
信息光学,光院,2012-2013-2,2
信息技术应用,传媒院,2012-2013-2,8
信息论基础B,通院,2012-2013-2,4
信息论与编码,理学院,2012-2013-2,4
信息物理基础,光院,2012-2013-2,8
形势与政策（不计入总学分）,马院,2012-2013-2,1
雅思阅读,外院,2012-2013-2,2
遥感原理与方法,地生院,2012-2013-2,2
医学信号处理（含实验）,地生院,2012-2013-2,2
仪器分析,材料院,2012-2013-2,3
移动GIS原理与系统开发,地生院,2012-2013-2,5
移动通信系统B,通院,2012-2013-2,22
移动通信系统C,通院,2012-2013-2,2
英国文学作品选读,外院,2012-2013-2,9
英美文学导读,外院,2012-2013-2,1
英美影视情景口语进阶,外院,2012-2013-2,1
英语词汇学,外院,2012-2013-2,1
英语听力Ⅳ,外院,2012-2013-2,1
英语语法,外院,2012-2013-2,5
英语阅读Ⅱ,外院,2012-2013-2,1
影视视听语言,传媒院,2012-2013-2,3
应用随机过程A,理学院,2012-2013-2,6
邮政运作管理,经管院,2012-2013-2,1
有机化学,材料院,2012-2013-2,16
预测与决策,经管院,2012-2013-2,4
运筹学,经管院,2012-2013-2,16
运筹与优化,理学院,2012-2013-2,10
运动控制系统,自动化院,2012-2013-2,8
职业生涯开发与管理,经管院,2012-2013-2,1
制图基础及计算机绘图,理学院,2012-2013-2,79
智能控制,自动化院,2012-2013-2,14
中国近现代史纲要,马院,2012-2013-2,5
中国经典文化的西方之旅,外院,2012-2013-2,1
自动测试系统,自动化院,2012-2013-2,5
ACM程序设计基础,计院,2013-2014-1,10
C语言程序设计 ,计院 ,2013-2014-1,3
Excel与数据分析 ,经济学院 ,2013-2014-1,13
Internet应用 ,计院 ,2013-2014-1,1
Java语言（双语）,教科院,2013-2014-1,2
Linux编程,计院,2013-2014-1,7
Linux编程,物联网院,2013-2014-1,5
MATLAB程序设计及应用 ,电院 ,2013-2014-1,1
TCP/IP网络设计与实现（双语）,计院,2013-2014-1,4
VB程序设计 ,计院 ,2013-2014-1,14
VC++程序设计 ,计院 ,2013-2014-1,1
WEB服务和分布式应用程序开发,软院,2013-2014-1,1
Windows高级软件开发,计院,2013-2014-1,6
XML技术基础 ,计院 ,2013-2014-1,1
半导体集成电路工艺,电院,2013-2014-1,16
半导体物理,电院,2013-2014-1,3
薄膜材料与技术,材料院,2013-2014-1,8
保险法学 ,人文院 ,2013-2014-1,1
保险会计学 ,人文院 ,2013-2014-1,10
保险经济学 ,人文院 ,2013-2014-1,1
保险学 ,人文院 ,2013-2014-1,11
保险学概论 ,人文院 ,2013-2014-1,4
报关实务 ,经济学院 ,2013-2014-1,1
材料物理（双语）,材料院,2013-2014-1,4
财务报表分析 ,管理学院 ,2013-2014-1,1
财务管理 ,管理学院 ,2013-2014-1,6
财务管理A,管理学院,2013-2014-1,3
财务会计B,管理学院,2013-2014-1,6
财政与税收,经济学院,2013-2014-1,2
操作系统,管理学院,2013-2014-1,6
操作系统 ,计院 ,2013-2014-1,3
操作系统A,计院,2013-2014-1,11
操作系统结构分析,计院,2013-2014-1,5
操作系统原理,物联网院,2013-2014-1,13
测控技术与仪器导论,自动化院,2013-2014-1,1
测量学,地生院,2013-2014-1,2
城市道路与交通规划（理论课） ,地生院 ,2013-2014-1,3
城市道路与交通规划（实验课） ,地生院 ,2013-2014-1,3
城市规划原理 ,地生院 ,2013-2014-1,5
城市生态学 ,地生院 ,2013-2014-1,1
抽样调查（双语）,理学院,2013-2014-1,3
初等数论,计院,2013-2014-1,16
传感器技术,自动化院,2013-2014-1,23
大学化学A,材料院,2013-2014-1,22
大学化学B,材料院,2013-2014-1,18
大学生心理健康,教科院,2013-2014-1,85
大学物理,理学院,2013-2014-1,340
大学物理 ,理学院 ,2013-2014-1,14
大学英语（3） ,外院 ,2013-2014-1,57
大学英语Ⅰ,外院,2013-2014-1,177
大学英语Ⅱ,外院,2013-2014-1,20
大学英语Ⅲ,外院,2013-2014-1,78
大学英语Ⅳ,外院,2013-2014-1,75
大学语文,人文院,2013-2014-1,7
代码优化与性能调优,软院,2013-2014-1,8
代数与几何,理学院,2013-2014-1,13
单片机技术及应用 ,计院 ,2013-2014-1,4
单片机原理及系统设计,计院,2013-2014-1,6
单片机原理与应用,光院,2013-2014-1,5
当代中国社会问题 ,人文院 ,2013-2014-1,3
地图学 ,地生院 ,2013-2014-1,3
地图制图学,地生院,2013-2014-1,2
第二外语（日语）,外院,2013-2014-1,5
第二外语（英语）,外院,2013-2014-1,2
第三代移动通信系统,通院,2013-2014-1,2
电磁场理论,电院,2013-2014-1,11
电磁场数学方法,电院,2013-2014-1,31
电磁场与传输理论,电院,2013-2014-1,36
电磁场与传输理论A,电院,2013-2014-1,111
电磁兼容原理与技术,电院,2013-2014-1,6
电磁学,理学院,2013-2014-1,15
电动力学,光院,2013-2014-1,2
电动力学,理学院,2013-2014-1,7
电工电子技术基础,电院,2013-2014-1,44
电工电子实验（一）,电工电子实验教学中心,2013-2014-1,25
电机与拖动基础,自动化院,2013-2014-1,3
电力电子技术,自动化院,2013-2014-1,80
电力电子装置及控制,自动化院,2013-2014-1,1
电力系统分析,自动化院,2013-2014-1,44
电力系统自动化,自动化院,2013-2014-1,1
电路与电子技术 ,电院 ,2013-2014-1,16
电气测量技术,自动化院,2013-2014-1,14
电视原理,通院,2013-2014-1,10
电网智能调度技术,自动化院,2013-2014-1,2
电信生产运营B,管理学院,2013-2014-1,1
电子电路基础,理学院,2013-2014-1,9
电子封装概论,通院,2013-2014-1,1
电子工艺学基础 ,电院 ,2013-2014-1,1
电子科学与技术导论,电院,2013-2014-1,7
电子信息工程专业导论,通院,2013-2014-1,2
动画概论,传媒院,2013-2014-1,2
动画艺术鉴赏 ,传媒院 ,2013-2014-1,2
多元统计分析 ,经济学院 ,2013-2014-1,19
二外（日语）2 ,外院 ,2013-2014-1,5
二外（日语）4 ,外院 ,2013-2014-1,1
法律逻辑 ,人文院 ,2013-2014-1,4
非参数统计,理学院,2013-2014-1,3
分析化学,材料院,2013-2014-1,4
概率论,理学院,2013-2014-1,6
概率论与数理统计,理学院,2013-2014-1,215
概率论与数理统计   Ⅰ ,理学院 ,2013-2014-1,118
概率论与数理统计   Ⅱ ,理学院 ,2013-2014-1,92
概率论与数理统计II ,理学院 ,2013-2014-1,23
概率统计和随机过程,理学院,2013-2014-1,134
高等数学A,理学院,2013-2014-1,1509
高等数学AⅠ,理学院,2013-2014-1,91
高等数学B,理学院,2013-2014-1,219
高等数学BⅠ,理学院,2013-2014-1,18
高等数学C,理学院,2013-2014-1,2
高级日语Ⅰ,外院,2013-2014-1,2
高级日语Ⅲ,外院,2013-2014-1,2
高级英语 （1） ,外院 ,2013-2014-1,1
高级语言程序设计,计院,2013-2014-1,650
高频电子线路 ,电院 ,2013-2014-1,4
各国旅游概况 ,管理学院 ,2013-2014-1,9
工程电磁场,自动化院,2013-2014-1,18
工程数学I（线性代数） ,理学院 ,2013-2014-1,4
公共管理学 ,人文院 ,2013-2014-1,1
构成设计原理 ,应用技术学院 ,2013-2014-1,2
固体电子导论,光院,2013-2014-1,27
固体物理,材料院,2013-2014-1,1
管理会计 ,管理学院 ,2013-2014-1,1
管理心理学 ,人文院 ,2013-2014-1,7
管理信息系统,管理学院,2013-2014-1,13
管理信息系统 ,管理学院 ,2013-2014-1,2
光电传感技术,光院,2013-2014-1,4
光电信息科学与工程专业导论,光院,2013-2014-1,13
光电综合实验,光院,2013-2014-1,1
